file,code,product_id,status,public_main_url,public_thumb_url,message
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0135 BACTER SELECT INTERNI AUTO SPRAY 750ML.png,EN0135,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0136 BACTER SELECT CUCCE SPRAY 750ML.png,EN0136,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0137 BACTER SELECT TESSUTI SPRAY 750ML.png,EN0137,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0138 BACTER SELECT ANTI ODORE SPRAY 750ML.png,EN0138,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0140 PROPOLI SPRAY 1LT.png,EN0140,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0142 BICARBONATO DI SODIO SPRAY 500ML.png,EN0142,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0143 BICARBONATO DI SODIO 200G.png,EN0143,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0144 ACETO CONCENTRATO 500G.png,EN0144,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0145 ACETO CONCENTRATO 200G.png,EN0145,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0148 BICARBONATO DI SODIO SPRAY 1LT.png,EN0148,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0150 TRAPPOLA MOSCHE.png,EN0150,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0151 TRAPPOLA VESPE.png,EN0151,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0152 TRAPPOLA MOSCHE SCUDERIE.png,EN0152,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0153 ATTRATTIVO VESPE 500ML.png,EN0153,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0154 ACQUA GEL 1LT.png,EN0154,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0155 ACQUA GEL 300ML.png,EN0155,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0156 OLIO DI NEEM SPRAY 1LT.png,EN0156,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0157 CONTROLLER NEEM+LINO SPRAY 500ML.png,EN0157,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0158 ORTICA LIQUIDO 200G.png,EN0158,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0159 CONTROLLER NEEM+SAPONE SPRAY 500ML.png,EN0159,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0160 OLIO DI SOIA SPRAY 1LT.png,EN0160,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0162 OLIO DI LINO SPRAY 1LT.png,EN0162,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0163 SAPONE MOLLE SPRAY 1 lt.png,EN0163,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0164 SAPONE MOLLE SPRAY 500ML.png,EN0164,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0165 SAPONE MOLLE 750ML.png,EN0165,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0166 SAPONE MOLLE LIQUIDO 200G.png,EN0166,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0167 SAPONE MOLLE LIQUIDO 500G.png,EN0167,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0168 SAPONE MOLLE LIQUIDO 1KG.png,EN0168,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0169 OLIO DI SOIA SPRAY 500ML.PNG,EN0169,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0170 ACETO SPRAY 500ML.png,EN0170,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0171 ACETO SPRAY 750ML.png,EN0171,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0172 ACETO LIQUIDO 1KG.png,EN0172,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0173 OLIO DI NEEM SPRAY 750ML.png,EN0173,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0174 OLIO DI NEEM+SAPONE MOLLE SPRAY 750ML.png,EN0174,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0175 OLIO DI NEEM SPRAY 500ML.png,EN0175,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0176 OLIO DI NEEM LIQUIDO 200G.png,EN0176,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0177 OLIO DI NEEM LIQUIDO 500G.png,EN0177,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0178 OLIO DI NEEM+OLIO DI LINO SPRAY 750ML.png,EN0178,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0179 OLIO DI LINO LIQUIDO 500G.png,EN0179,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0180 OLIO DI LINO SPRAY 500ML.png,EN0180,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0181 OLIO DI SOIA LIQUIDO 200G.png,EN0181,,unmatched,,,no product with this code
